mttf,mttr,arrival_rate,service_rate,num_nodes,failure_type,failure_type_enc,best_policy,best_throughput,best_wait_p95,best_dropped
73.14117094556855,12.34810639936394,4.3029568099504205,1.8560271787892486,5,down,0,drop_queue,4.2620000000000005,1.8225292904647818,0.0
45.22423836741978,6.843525334945149,3.4285008896509868,1.6428094122143857,4,down,0,drop_queue,3.386,2.4740562856823383,0.0
62.76703182317059,8.067266504401836,4.801306729870528,2.0260756721125492,3,degrade,1,freeze,4.684,15.6851279512568,1.0
90.71211090373839,19.5830011730869,2.120654662713802,2.067230236176637,4,degrade,1,freeze,2.1433333333333335,1.8456520168093529,0.0
84.33614999533593,18.304011836858603,4.439732286092577,2.4955154396087376,3,down,0,drop_queue,4.3486666666666665,10.900518422638282,21.4
25.391929601860667,14.79186998634757,4.259149969597029,1.6588433977874597,4,degrade,1,freeze,4.09,29.558008486269717,7.4
21.462262472950393,23.153087773349508,2.8402472055994985,1.2859263406060273,5,degrade,1,freeze,2.802666666666666,26.462666717893377,0.0
60.797153900853466,17.11247355865626,4.696471295745454,1.129018654091504,2,degrade,1,freeze,1.9586666666666666,72.29786220249512,676.2
39.51840607881422,9.385243749627026,4.0243959499018365,1.5442329262944041,4,down,0,drop_queue,3.674666666666667,9.942222494212436,8.2
94.9309988706269,9.982458516987155,3.536520973513205,1.0360198010070238,4,down,0,drop_queue,3.3946666666666667,15.397481256322175,0.0
89.50768602702057,24.731188706316907,3.6705064701619707,1.3336800939870403,5,degrade,1,freeze,3.5479999999999996,25.1315759100427,0.8
11.09318735022513,22.824840773448017,4.150252041691184,1.9690675353495322,4,degrade,1,freeze,3.702666666666667,44.55544433314078,28.0
16.634478936208378,11.160149226274388,3.7231341442937955,1.5912801490433464,4,degrade,1,freeze,3.5413333333333328,30.78663770608308,9.4
93.13708216376631,8.800197563063426,3.769881777948592,2.044322659155185,5,down,0,drop_queue,3.8280000000000003,0.9211475904303231,0.0
38.13360823910541,22.897946173137356,4.70332428026851,1.512613975309203,3,down,0,drop_queue,2.6319999999999997,27.912632913392248,260.6
83.96128024571931,19.624567005641957,3.4297652651173114,1.3842250321418386,2,down,0,drop_queue,2.214666666666667,34.19970319267948,165.4
11.610227880727773,19.49925451410237,2.5733308203802245,2.4632994676402307,5,down,0,drop_queue,2.208,3.0556915804482205,64.8
50.68799094943976,14.866494926774,2.696934425856593,2.1231335875059028,3,degrade,1,freeze,2.679333333333333,7.034634929775597,0.0
75.31819165466828,7.070214397412368,3.0582302470892153,1.7797496115013476,5,down,0,drop_queue,3.0620000000000003,0.8106158297580881,0.0
13.655580568547071,9.85068637251983,4.83507394491388,1.2438545871299773,3,degrade,1,freeze,2.5773333333333333,76.25616379631785,514.4
83.99234431579961,14.7823439269527,3.4003505595327903,2.236002711474879,2,degrade,1,freeze,3.2840000000000003,24.99347107020943,13.8
85.32493627861639,23.939914645803093,4.073814438321814,2.369461159010317,4,degrade,1,freeze,4.001333333333333,10.14095278543177,0.0
26.115641882469394,23.705606877031123,2.2600439693436285,1.6387843604410324,5,down,0,drop_queue,2.2359999999999998,3.6627083202095796,7.4
28.195128457793615,28.44762771589973,2.284330035083501,1.0073491224828635,5,down,0,drop_queue,1.842,19.644870152318823,16.8
99.16702464170999,11.617378209710997,4.492082796553193,1.2596704555306981,5,degrade,1,freeze,4.386,19.117757830428438,2.2
96.25684016614528,22.912830864145178,4.941523925535459,1.8618349736335595,4,degrade,1,freeze,4.743333333333334,30.597790055017914,19.0
85.33423285480035,24.456205652548206,4.665469660734501,1.947237275892425,2,down,0,drop_queue,3.2506666666666666,28.857458427086833,217.4
57.54541960512937,10.66250989205909,4.332632371645116,1.2551177524222998,2,degrade,1,freeze,2.1446666666666667,69.90981202511009,544.0
58.23090366212029,21.79757008694226,4.28145979599575,1.1647418290958633,3,degrade,1,freeze,2.789333333333333,66.84389512233706,293.2
47.256029421867346,20.355035891698844,4.081953629439486,1.878219378640933,5,degrade,1,freeze,3.9120000000000004,10.631851083543697,0.0
56.802273148418315,16.571695228231793,2.8603065963456054,1.3437275049950599,4,degrade,1,freeze,2.8379999999999996,14.25140629999223,0.0
72.6140217531212,9.887062824414908,4.915512249833336,2.006726170434094,3,degrade,1,freeze,4.649333333333333,16.17809141511193,2.4
85.70578163904709,17.16301083257887,3.4278346103009802,1.3874116001163053,3,down,0,drop_queue,3.118,17.06334736695527,4.8
74.04585209928257,26.102774205976065,4.033396334287877,1.5532322750439254,3,degrade,1,freeze,3.6206666666666663,43.66808882628252,61.8
60.70712263065909,28.41415208685735,3.163022635867068,1.2471739780990052,4,degrade,1,freeze,2.993333333333333,37.209448202596924,0.0
90.52556471981815,6.206639875047383,2.594672092518447,1.9544254803991898,2,degrade,1,freeze,2.6293333333333333,7.050874212016818,0.0
64.60232560664954,9.789729903163956,2.3529247257865973,1.7589589510977754,2,degrade,1,freeze,2.2506666666666666,15.59191326451446,0.0
29.536046296491357,6.878317371819591,3.653134987379914,1.287725722202882,3,down,0,drop_queue,2.849333333333333,20.211065771525785,30.2
79.59381382371414,25.53066515194806,3.195006653294706,1.4411145402524266,2,down,0,drop_queue,2.092666666666667,31.386947977988267,150.2
42.48742832455157,19.422691077906553,3.5834602343374318,1.5330237717590445,4,degrade,1,freeze,3.507333333333333,20.63054681797645,0.0
70.8190697752714,18.956973699375858,3.161884745155622,1.9358541729087015,3,degrade,1,freeze,3.0260000000000002,21.837731492868294,4.8
40.629147164259976,12.580025316606132,3.63724663705786,1.9185126085027762,4,degrade,1,freeze,3.6273333333333335,12.245806582467313,0.0
44.45542080080694,19.14434768040638,4.957308905589257,1.6420367785659276,2,degrade,1,freeze,2.848,48.53510468369268,533.2
17.319132217626123,26.880706342549296,4.825118466589659,1.3927960237809058,4,down,0,drop_queue,2.5746666666666664,17.380255903567527,216.4
53.470757209041935,9.567806441556948,4.914893762855804,2.3465476526763225,3,degrade,1,freeze,4.809333333333333,14.311894370378848,4.6
64.34826919666774,17.87900917256605,4.498153548140692,1.9785234485335317,2,down,0,drop_queue,3.078666666666666,25.076505279896804,205.4
94.08574344320759,15.992486249138283,4.320668684927897,1.7514069354827302,4,down,0,drop_queue,4.190666666666667,6.360496218022277,0.0
36.633416230847196,19.36026922007043,2.4290062527928415,1.0206067879247178,4,down,0,drop_queue,2.0700000000000003,8.96628873820548,13.8
78.59774546732977,20.353931843572198,2.972439127422128,2.07586140894324,4,down,0,drop_queue,2.912,2.9242675863812515,2.2
99.95512170313242,24.400791311119512,4.491894323815277,1.3893233592081673,5,down,0,drop_queue,4.3420000000000005,5.965845499143598,3.6
